epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.0212,1.65351,1.93177,1.79446,0.48915,0.55147,0.48222,0.23728,1.65362,2.95811,1.83043,0.0674925,0.000328358,0.000328358
2,33.4269,1.55662,1.53069,1.73788,0.5781,0.59559,0.55681,0.28896,1.71766,2.00563,1.95711,0.0344843,0.000653503,0.000653503
3,48.332,1.50947,1.48359,1.69304,0.56708,0.59717,0.57966,0.31069,1.60554,1.68121,1.85492,0.00146791,0.000970398,0.000970398
4,63.5354,1.4842,1.47751,1.67033,0.63071,0.6656,0.60812,0.30148,1.65936,1.55957,1.7714,0.000962875,0.000962875,0.000962875
5,78.9733,1.46358,1.42082,1.65679,0.66563,0.66912,0.66969,0.34834,1.60928,1.4275,1.73749,0.0009505,0.0009505,0.0009505
6,94.9631,1.43397,1.38545,1.63872,0.66908,0.69118,0.63257,0.34308,1.47117,1.736,1.65617,0.000938125,0.000938125,0.000938125
7,112.496,1.41661,1.3415,1.62043,0.71661,0.65077,0.66182,0.37927,1.34993,1.55686,1.54627,0.00092575,0.00092575,0.00092575
8,130.254,1.38812,1.27081,1.59081,0.69241,0.72794,0.70976,0.40397,1.42492,1.3006,1.56732,0.000913375,0.000913375,0.000913375
9,148.339,1.35633,1.21891,1.57306,0.62999,0.69118,0.66189,0.35747,1.50629,1.30777,1.61322,0.000901,0.000901,0.000901
10,166.468,1.35874,1.29956,1.57834,0.73089,0.73893,0.73756,0.41439,1.4355,1.24,1.61401,0.000888625,0.000888625,0.000888625
11,184.337,1.3023,1.24013,1.52572,0.71753,0.72843,0.69646,0.41393,1.31469,1.2289,1.51586,0.00087625,0.00087625,0.00087625
12,201.088,1.29997,1.21822,1.50729,0.71808,0.72059,0.73235,0.43747,1.3903,1.13574,1.51603,0.000863875,0.000863875,0.000863875
13,218.765,1.27622,1.18322,1.50932,0.76207,0.76471,0.75404,0.44162,1.38239,1.12855,1.52764,0.0008515,0.0008515,0.0008515
14,237.937,1.27718,1.14286,1.48627,0.71762,0.72059,0.73192,0.41455,1.51347,1.22923,1.58599,0.000839125,0.000839125,0.000839125
15,256.93,1.27278,1.17058,1.49182,0.7421,0.70588,0.70345,0.41204,1.39688,1.21336,1.55271,0.00082675,0.00082675,0.00082675
16,274.935,1.2427,1.13821,1.47308,0.76386,0.73736,0.71724,0.40484,1.50051,1.14567,1.62381,0.000814375,0.000814375,0.000814375
17,292.242,1.22503,1.11066,1.47206,0.7733,0.70588,0.74513,0.43643,1.48713,1.22305,1.65808,0.000802,0.000802,0.000802
18,312.398,1.21258,1.08005,1.46918,0.76126,0.74265,0.74835,0.47561,1.26093,1.08513,1.45323,0.000789625,0.000789625,0.000789625
19,359.166,1.17885,1.05649,1.43545,0.72508,0.80147,0.77605,0.46948,1.22191,1.01675,1.46225,0.00077725,0.00077725,0.00077725
20,401.295,1.21007,1.11288,1.47279,0.78414,0.70588,0.72964,0.4558,1.18908,1.03461,1.42055,0.000764875,0.000764875,0.000764875
21,443.095,1.20143,1.0949,1.45227,0.69977,0.76471,0.72618,0.45176,1.22464,0.98294,1.45149,0.0007525,0.0007525,0.0007525
22,489.608,1.11847,1.02497,1.3854,0.76928,0.69853,0.75297,0.48856,1.20715,1.04976,1.42384,0.000740125,0.000740125,0.000740125
23,536.205,1.16637,1.03194,1.42405,0.73382,0.72794,0.75466,0.50274,1.14963,0.98039,1.38254,0.00072775,0.00072775,0.00072775
24,581.773,1.12742,1.02784,1.39841,0.80424,0.69481,0.74029,0.47176,1.18259,1.03041,1.40398,0.000715375,0.000715375,0.000715375
25,628.186,1.13012,0.97528,1.39254,0.75706,0.75735,0.75864,0.47877,1.23252,0.96229,1.41859,0.000703,0.000703,0.000703
26,675.171,1.11775,0.9691,1.39257,0.74621,0.73529,0.74913,0.44219,1.43905,1.0431,1.56983,0.000690625,0.000690625,0.000690625
27,721.007,1.11555,0.99397,1.39365,0.75813,0.76471,0.74355,0.41282,1.39186,1.10781,1.55815,0.00067825,0.00067825,0.00067825
28,768.464,1.10427,0.9911,1.37853,0.76223,0.75,0.74692,0.45771,1.25198,0.99987,1.46168,0.000665875,0.000665875,0.000665875
29,812.537,1.05026,0.93805,1.34596,0.72612,0.77206,0.73233,0.48921,1.17864,0.97475,1.39354,0.0006535,0.0006535,0.0006535
30,858.821,1.08111,0.95855,1.35357,0.78625,0.73026,0.77376,0.50121,1.19307,0.98556,1.40295,0.000641125,0.000641125,0.000641125
31,904.905,1.05058,0.90709,1.34109,0.81186,0.64706,0.73106,0.4969,1.21227,0.98355,1.45059,0.00062875,0.00062875,0.00062875
32,948.525,1.08073,0.94679,1.35442,0.7833,0.69105,0.75525,0.48765,1.13687,0.93586,1.41995,0.000616375,0.000616375,0.000616375
33,992.567,1.04676,0.91654,1.33134,0.73405,0.73529,0.75064,0.49486,1.07517,0.93432,1.33223,0.000604,0.000604,0.000604
34,1038.28,1.04929,0.9234,1.32701,0.7076,0.74736,0.75331,0.49411,1.14577,0.97844,1.38552,0.000591625,0.000591625,0.000591625
35,1083.13,1.02128,0.87657,1.30745,0.78005,0.7041,0.75329,0.50009,1.09933,0.98392,1.37285,0.00057925,0.00057925,0.00057925
36,1128.27,1.0828,0.92134,1.36375,0.76894,0.69118,0.74139,0.48312,1.16686,1.0155,1.38824,0.000566875,0.000566875,0.000566875
37,1173.45,1.01414,0.86987,1.32519,0.74986,0.79351,0.75559,0.50167,1.14756,0.93217,1.37013,0.0005545,0.0005545,0.0005545
38,1219,1.01866,0.90412,1.31392,0.73425,0.75169,0.73056,0.46383,1.2168,0.96972,1.44653,0.000542125,0.000542125,0.000542125
