epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.6835,1.4413,1.85366,1.55755,0.3489,0.47794,0.37727,0.1971,1.78631,7.62927,1.92951,0.000656716,0.000656716,0.000656716
2,30.616,1.5489,1.71773,1.61918,0.34219,0.34559,0.21982,0.09398,2.07716,5.05672,2.29521,0.00131028,0.00131028,0.00131028
3,45.2612,1.60125,1.68943,1.6492,0.35298,0.32353,0.22493,0.08558,2.33012,2.8113,2.62791,0.00195065,0.00195065,0.00195065
4,60.0999,1.49875,1.54406,1.56756,0.03312,0.72059,0.03091,0.01528,1.53144,36.7978,1.67525,0.0019406,0.0019406,0.0019406
5,74.8649,1.43322,1.4136,1.55197,0.62375,0.55147,0.50533,0.23657,1.6012,2.75735,1.79464,0.0019208,0.0019208,0.0019208
6,89.639,1.42042,1.37282,1.54469,0.4713,0.39329,0.38708,0.21135,1.47013,2.34429,1.59696,0.001901,0.001901,0.001901
7,104.39,1.41858,1.34237,1.55339,0.55123,0.66176,0.49531,0.25379,1.45663,1.62173,1.60598,0.0018812,0.0018812,0.0018812
8,119.059,1.36102,1.26565,1.51973,0.64957,0.58088,0.59294,0.36771,1.52473,1.45316,1.67542,0.0018614,0.0018614,0.0018614
9,133.631,1.32939,1.24022,1.47688,0.70174,0.64009,0.65269,0.36818,1.29317,1.39569,1.47795,0.0018416,0.0018416,0.0018416
10,148.234,1.36228,1.26404,1.49087,0.74663,0.63235,0.63682,0.36642,1.35134,1.32209,1.46028,0.0018218,0.0018218,0.0018218
11,162.684,1.28791,1.22307,1.45505,0.69171,0.66176,0.6345,0.38792,1.32636,1.26454,1.42455,0.001802,0.001802,0.001802
12,177.371,1.26932,1.18687,1.44391,0.68766,0.64706,0.69137,0.43298,1.34892,1.30408,1.49122,0.0017822,0.0017822,0.0017822
13,191.928,1.27066,1.18035,1.45014,0.71592,0.61029,0.67608,0.4086,1.41752,1.35193,1.48424,0.0017624,0.0017624,0.0017624
14,206.407,1.25389,1.14962,1.42152,0.67786,0.71324,0.68389,0.44,1.26836,1.19847,1.40463,0.0017426,0.0017426,0.0017426
15,221.133,1.20502,1.1394,1.41187,0.74073,0.67647,0.74657,0.48696,1.24388,1.14763,1.38968,0.0017228,0.0017228,0.0017228
16,235.781,1.19031,1.10254,1.37194,0.75726,0.68382,0.70639,0.46501,1.23306,1.21081,1.39588,0.001703,0.001703,0.001703
17,250.354,1.20038,1.09228,1.3962,0.71157,0.70588,0.71104,0.44892,1.2506,1.16513,1.41313,0.0016832,0.0016832,0.0016832
18,264.777,1.17189,1.07018,1.37258,0.66403,0.72059,0.70118,0.45909,1.10398,1.11612,1.30491,0.0016634,0.0016634,0.0016634
19,279.524,1.14583,1.05899,1.33651,0.65669,0.72794,0.70062,0.45381,1.16435,1.13636,1.3416,0.0016436,0.0016436,0.0016436
20,294.074,1.16222,1.05243,1.36295,0.78333,0.63801,0.75317,0.49872,1.21919,1.17967,1.36961,0.0016238,0.0016238,0.0016238
21,308.508,1.13538,1.05571,1.34904,0.74601,0.73429,0.73434,0.48926,1.22922,1.1437,1.40228,0.001604,0.001604,0.001604
22,322.99,1.11919,1.02575,1.34115,0.72713,0.76471,0.73408,0.47956,1.23713,1.09205,1.41609,0.0015842,0.0015842,0.0015842
23,337.699,1.11066,1.00923,1.3231,0.77416,0.68055,0.75369,0.46692,1.3679,1.13864,1.56153,0.0015644,0.0015644,0.0015644
24,352.364,1.09309,1.00072,1.32093,0.75195,0.70588,0.73587,0.48168,1.19645,1.0973,1.40498,0.0015446,0.0015446,0.0015446
25,367.089,1.08254,1.00147,1.31119,0.75959,0.73529,0.75316,0.49947,1.16213,1.09934,1.36599,0.0015248,0.0015248,0.0015248
26,381.801,1.07316,0.95855,1.31301,0.78049,0.72794,0.77641,0.49057,1.25497,1.02734,1.41895,0.001505,0.001505,0.001505
27,396.478,1.07588,0.96265,1.30782,0.72085,0.76471,0.73805,0.49445,1.14855,1.03744,1.33885,0.0014852,0.0014852,0.0014852
28,411.175,1.06145,0.95611,1.30825,0.78351,0.71853,0.74891,0.50465,1.09664,0.95127,1.31478,0.0014654,0.0014654,0.0014654
29,425.808,1.03731,0.94907,1.28958,0.78052,0.66912,0.73039,0.49351,1.14735,1.05394,1.36739,0.0014456,0.0014456,0.0014456
30,440.391,0.98448,0.88538,1.25963,0.76069,0.75,0.7361,0.48857,1.17577,0.93756,1.36562,0.0014258,0.0014258,0.0014258
31,454.956,0.993,0.91116,1.26594,0.74314,0.72331,0.73364,0.49206,1.21742,0.97719,1.42879,0.001406,0.001406,0.001406
32,469.66,1.01568,0.90055,1.26688,0.72635,0.78067,0.75079,0.51099,1.08875,0.91999,1.30622,0.0013862,0.0013862,0.0013862
33,484.601,0.99143,0.87374,1.24961,0.76858,0.72059,0.74143,0.52106,1.149,0.90386,1.31228,0.0013664,0.0013664,0.0013664
34,499.247,0.96775,0.84774,1.25643,0.73906,0.74265,0.75236,0.50491,1.23557,0.91729,1.42146,0.0013466,0.0013466,0.0013466
35,513.869,0.98687,0.86629,1.25081,0.77859,0.72402,0.76335,0.50404,1.08443,1.00186,1.33161,0.0013268,0.0013268,0.0013268
36,528.492,0.94868,0.8488,1.23345,0.70976,0.79412,0.75724,0.51052,1.11973,0.93534,1.32623,0.001307,0.001307,0.001307
37,543.016,0.96057,0.86758,1.24997,0.79341,0.70598,0.73716,0.49337,1.08266,0.97235,1.32883,0.0012872,0.0012872,0.0012872
38,557.449,0.97164,0.86829,1.24611,0.74638,0.72059,0.73717,0.50742,1.0601,0.94101,1.31946,0.0012674,0.0012674,0.0012674
39,571.958,0.93629,0.82695,1.2298,0.68916,0.77206,0.73856,0.52504,1.0527,0.92346,1.30379,0.0012476,0.0012476,0.0012476
40,586.655,0.92209,0.81691,1.21539,0.75157,0.75634,0.77866,0.54286,1.09203,0.96246,1.32356,0.0012278,0.0012278,0.0012278
41,601.309,0.92425,0.81312,1.21405,0.73824,0.77206,0.77391,0.51222,1.2011,0.93404,1.43308,0.001208,0.001208,0.001208
42,615.937,0.91659,0.8173,1.19445,0.76984,0.75,0.77578,0.53549,1.12935,0.88826,1.37442,0.0011882,0.0011882,0.0011882
43,630.482,0.90978,0.79576,1.21465,0.72579,0.68382,0.74129,0.51226,1.1368,0.93625,1.37262,0.0011684,0.0011684,0.0011684
44,645.533,0.89718,0.77722,1.1949,0.71293,0.73044,0.73814,0.52025,1.15564,1.03225,1.3909,0.0011486,0.0011486,0.0011486
45,660.694,0.88591,0.78547,1.19395,0.67712,0.77941,0.71953,0.50692,1.14457,1.02392,1.40549,0.0011288,0.0011288,0.0011288
46,676.015,0.87414,0.77627,1.18575,0.71553,0.79412,0.77158,0.51337,1.18402,1.02941,1.43099,0.001109,0.001109,0.001109
47,690.999,0.88873,0.76308,1.18604,0.70668,0.77941,0.74834,0.53649,1.06974,1.00762,1.33582,0.0010892,0.0010892,0.0010892
48,706.191,0.88075,0.78454,1.18485,0.80222,0.66176,0.74479,0.5329,1.21238,0.93064,1.39545,0.0010694,0.0010694,0.0010694
49,721.377,0.86675,0.73141,1.17675,0.71983,0.79344,0.76884,0.52296,1.21517,1.02556,1.44167,0.0010496,0.0010496,0.0010496
50,736.324,0.84581,0.75254,1.1635,0.7128,0.77206,0.74396,0.51962,1.06832,0.87645,1.32094,0.0010298,0.0010298,0.0010298
51,751,0.83484,0.71603,1.14936,0.71706,0.77941,0.76935,0.54116,1.14858,0.93254,1.37339,0.00101,0.00101,0.00101
52,765.81,0.80095,0.68815,1.13365,0.69443,0.78538,0.73791,0.50352,1.11677,0.97419,1.35825,0.0009902,0.0009902,0.0009902
53,780.426,0.8173,0.702,1.13841,0.76947,0.77941,0.76455,0.53129,1.12024,0.89463,1.38469,0.0009704,0.0009704,0.0009704
54,794.92,0.81586,0.70448,1.14513,0.75683,0.75522,0.78191,0.53575,1.10669,0.86587,1.35067,0.0009506,0.0009506,0.0009506
55,809.421,0.80549,0.69666,1.13717,0.79249,0.69118,0.7817,0.55925,1.03575,0.90863,1.32481,0.0009308,0.0009308,0.0009308
56,824.179,0.7922,0.67317,1.12376,0.76323,0.70588,0.75312,0.53385,1.16706,0.96429,1.41572,0.000911,0.000911,0.000911
57,838.853,0.77497,0.65206,1.11812,0.68725,0.77941,0.73281,0.52164,1.19639,0.89273,1.42263,0.0008912,0.0008912,0.0008912
58,853.357,0.78983,0.67518,1.13224,0.72314,0.74265,0.74267,0.51253,1.11485,0.9741,1.3659,0.0008714,0.0008714,0.0008714
59,867.81,0.79452,0.67063,1.1459,0.70799,0.78442,0.77281,0.544,1.10057,0.88994,1.3614,0.0008516,0.0008516,0.0008516
60,882.312,0.75803,0.64534,1.11562,0.74502,0.75196,0.74223,0.51755,1.10439,0.88456,1.35083,0.0008318,0.0008318,0.0008318
61,896.821,0.75733,0.63697,1.11392,0.74571,0.72059,0.75447,0.524,1.13778,0.961,1.42427,0.000812,0.000812,0.000812
62,911.348,0.71878,0.62587,1.0905,0.73245,0.77206,0.76627,0.54255,1.08575,0.88463,1.33249,0.0007922,0.0007922,0.0007922
63,925.771,0.74067,0.62754,1.08841,0.72684,0.73529,0.77363,0.53546,1.21281,1.08261,1.47634,0.0007724,0.0007724,0.0007724
64,940.278,0.74547,0.63113,1.11644,0.71248,0.76526,0.73735,0.51931,1.30691,1.11237,1.55589,0.0007526,0.0007526,0.0007526
65,954.881,0.72435,0.61668,1.08617,0.76952,0.74265,0.7581,0.54777,1.11411,0.99965,1.38128,0.0007328,0.0007328,0.0007328
66,969.294,0.70794,0.60842,1.08499,0.71755,0.74265,0.76046,0.55452,0.99636,1.04797,1.31879,0.000713,0.000713,0.000713
67,983.729,0.69947,0.59141,1.0663,0.74361,0.75,0.75302,0.52179,1.0924,0.96211,1.37724,0.0006932,0.0006932,0.0006932
68,998.305,0.69098,0.58006,1.06889,0.70561,0.79308,0.74071,0.52117,1.0787,0.94564,1.40455,0.0006734,0.0006734,0.0006734
69,1012.79,0.69202,0.58158,1.06653,0.78927,0.71603,0.76303,0.53787,1.0221,0.98909,1.32799,0.0006536,0.0006536,0.0006536
70,1027.32,0.69613,0.58398,1.07903,0.7843,0.67647,0.75858,0.52398,1.09366,0.98791,1.38254,0.0006338,0.0006338,0.0006338
71,1041.93,0.68704,0.58163,1.05644,0.72356,0.7506,0.78083,0.5437,1.07529,1.0059,1.37862,0.000614,0.000614,0.000614
72,1056.58,0.68966,0.58094,1.07043,0.74944,0.70378,0.74498,0.51597,1.11712,1.00133,1.42982,0.0005942,0.0005942,0.0005942
73,1071.3,0.66937,0.57071,1.05193,0.75978,0.72093,0.75726,0.53829,1.09556,0.95115,1.36781,0.0005744,0.0005744,0.0005744
74,1086.06,0.65403,0.55115,1.04875,0.74311,0.72319,0.76525,0.54691,1.06788,0.933,1.36429,0.0005546,0.0005546,0.0005546
75,1101.43,0.63671,0.52252,1.03681,0.68674,0.75735,0.75855,0.52834,1.08376,0.97644,1.40596,0.0005348,0.0005348,0.0005348
