epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.04661,1.37929,2.18947,1.45563,0.69716,0.23701,0.38961,0.23421,1.23328,2.53555,1.31238,0.000647059,0.000647059,0.000647059
2,9.02593,1.37247,1.68033,1.43803,0.46401,0.44853,0.4389,0.24267,1.3953,2.04301,1.42523,0.00130072,0.00130072,0.00130072
3,12.8932,1.36287,1.58831,1.42161,0.68496,0.43382,0.51807,0.24539,1.63027,2.06772,1.7396,0.00194118,0.00194118,0.00194118
4,16.8171,1.3647,1.53074,1.41245,0.60538,0.55147,0.56879,0.3222,1.49178,1.62076,1.51626,0.0019406,0.0019406,0.0019406
5,20.6626,1.33639,1.44563,1.40745,0.64076,0.47216,0.50313,0.27598,1.55651,1.73662,1.5663,0.0019208,0.0019208,0.0019208
6,24.5291,1.31743,1.34438,1.38287,0.65732,0.52206,0.54582,0.3117,1.45993,1.73478,1.49977,0.001901,0.001901,0.001901
7,28.4536,1.292,1.31145,1.3774,0.55897,0.63971,0.59421,0.32696,1.45092,1.54119,1.4732,0.0018812,0.0018812,0.0018812
8,32.4269,1.25802,1.26679,1.35271,0.68522,0.63235,0.63334,0.36355,1.38555,1.49441,1.41831,0.0018614,0.0018614,0.0018614
9,36.426,1.2143,1.18634,1.30899,0.64531,0.64706,0.62916,0.39617,1.26359,1.32774,1.32402,0.0018416,0.0018416,0.0018416
10,40.5382,1.17337,1.19276,1.31409,0.71121,0.68811,0.67317,0.42775,1.33411,1.27486,1.40262,0.0018218,0.0018218,0.0018218
11,44.5071,1.21753,1.19802,1.33194,0.74897,0.68009,0.69616,0.44664,1.26829,1.20354,1.3477,0.001802,0.001802,0.001802
12,48.4687,1.13803,1.12838,1.27555,0.76808,0.61029,0.66168,0.42333,1.33094,1.2456,1.40907,0.0017822,0.0017822,0.0017822
13,52.4302,1.12681,1.0837,1.26089,0.73393,0.62879,0.66997,0.44814,1.23298,1.20046,1.31363,0.0017624,0.0017624,0.0017624
14,56.3466,1.16489,1.11446,1.29398,0.69058,0.67287,0.68047,0.43689,1.23323,1.19607,1.32636,0.0017426,0.0017426,0.0017426
15,60.3901,1.12287,1.0695,1.2742,0.65702,0.59559,0.63069,0.38932,1.37266,1.29586,1.41429,0.0017228,0.0017228,0.0017228
16,64.4379,1.13048,1.07013,1.25782,0.72913,0.69118,0.7026,0.44879,1.2332,1.15093,1.30226,0.001703,0.001703,0.001703
17,68.4492,1.11338,1.04859,1.25048,0.71794,0.6738,0.69147,0.45736,1.20244,1.09723,1.26729,0.0016832,0.0016832,0.0016832
18,72.4254,1.09524,1.0517,1.25778,0.67031,0.68768,0.68023,0.45183,1.21275,1.15706,1.28944,0.0016634,0.0016634,0.0016634
19,76.2646,1.0848,1.0245,1.23066,0.68448,0.70187,0.6558,0.42561,1.18205,1.22164,1.26547,0.0016436,0.0016436,0.0016436
20,80.2768,1.08323,1.00279,1.24451,0.79518,0.69853,0.74671,0.49857,1.16214,1.07796,1.24305,0.0016238,0.0016238,0.0016238
21,84.3107,1.07045,0.98844,1.22711,0.70541,0.6867,0.68182,0.4645,1.18193,1.16546,1.26365,0.001604,0.001604,0.001604
22,88.3085,1.08906,0.99421,1.23577,0.7863,0.61029,0.70806,0.45805,1.19141,1.07467,1.28539,0.0015842,0.0015842,0.0015842
23,92.3731,1.0403,0.9539,1.21086,0.72937,0.69853,0.70611,0.43633,1.33866,1.17677,1.41537,0.0015644,0.0015644,0.0015644
24,96.3301,0.99902,0.92911,1.1898,0.71217,0.70954,0.70945,0.48145,1.2081,1.15947,1.34794,0.0015446,0.0015446,0.0015446
25,100.292,1.02389,0.94925,1.19248,0.72312,0.72973,0.71486,0.4781,1.21102,1.04907,1.34921,0.0015248,0.0015248,0.0015248
26,104.237,1.00216,0.93245,1.17587,0.69094,0.69041,0.69877,0.48307,1.12076,1.03475,1.27112,0.001505,0.001505,0.001505
27,108.154,1.03074,0.9122,1.18957,0.73031,0.72794,0.70176,0.4913,1.11157,1.0567,1.24447,0.0014852,0.0014852,0.0014852
28,112.097,0.98543,0.90013,1.16856,0.80492,0.69781,0.73254,0.49144,1.15304,1.01245,1.30183,0.0014654,0.0014654,0.0014654
29,116.045,1.00842,0.9125,1.18803,0.70406,0.76471,0.75282,0.50145,1.12371,1.01418,1.2325,0.0014456,0.0014456,0.0014456
30,119.931,0.98476,0.90268,1.17681,0.78991,0.71879,0.77591,0.50541,1.16362,0.97516,1.29516,0.0014258,0.0014258,0.0014258
31,123.823,0.95816,0.86551,1.14373,0.7541,0.74412,0.73687,0.49732,1.15314,1.04617,1.27399,0.001406,0.001406,0.001406
32,127.725,0.95159,0.85542,1.14107,0.71741,0.78402,0.74471,0.47633,1.15384,1.02695,1.2936,0.0013862,0.0013862,0.0013862
33,131.601,0.95913,0.87706,1.14352,0.75286,0.67198,0.70247,0.44938,1.2807,1.0769,1.38949,0.0013664,0.0013664,0.0013664
34,135.496,0.95446,0.85344,1.15527,0.75666,0.68382,0.6971,0.46606,1.13546,1.07765,1.28949,0.0013466,0.0013466,0.0013466
35,139.374,0.92464,0.83248,1.12991,0.69872,0.72794,0.71952,0.45743,1.2032,1.02154,1.35318,0.0013268,0.0013268,0.0013268
36,143.3,0.92535,0.83511,1.13954,0.7612,0.64706,0.70432,0.4406,1.2042,1.09656,1.30892,0.001307,0.001307,0.001307
37,147.162,0.95624,0.84739,1.17441,0.71189,0.73529,0.73711,0.4941,1.21504,0.99105,1.33884,0.0012872,0.0012872,0.0012872
38,151.061,0.91072,0.8287,1.13291,0.6794,0.75,0.69373,0.45289,1.21149,1.01658,1.35298,0.0012674,0.0012674,0.0012674
39,155.055,0.9133,0.79486,1.1358,0.67293,0.78667,0.72388,0.46954,1.21458,1.01044,1.34039,0.0012476,0.0012476,0.0012476
40,159.102,0.90524,0.79275,1.1278,0.81158,0.69118,0.7632,0.46803,1.19656,0.9873,1.3304,0.0012278,0.0012278,0.0012278
41,163.222,0.87817,0.76473,1.11087,0.78381,0.65441,0.76525,0.51231,1.16383,1.01072,1.30864,0.001208,0.001208,0.001208
42,167.296,0.85922,0.75252,1.1048,0.82529,0.66176,0.7293,0.47159,1.1567,1.11524,1.30581,0.0011882,0.0011882,0.0011882
43,171.324,0.85627,0.76633,1.1026,0.76161,0.70588,0.70379,0.45938,1.13547,1.01299,1.31323,0.0011684,0.0011684,0.0011684
44,175.376,0.86963,0.76377,1.10737,0.72219,0.76471,0.73049,0.49145,1.16101,0.99028,1.29161,0.0011486,0.0011486,0.0011486
45,179.352,0.87381,0.76461,1.10391,0.76051,0.75735,0.75736,0.51451,1.18546,0.95116,1.3272,0.0011288,0.0011288,0.0011288
46,183.254,0.8565,0.74736,1.08074,0.82712,0.68382,0.76594,0.52234,1.14201,0.96977,1.27363,0.001109,0.001109,0.001109
47,187.097,0.83652,0.76327,1.08124,0.77286,0.68382,0.7389,0.48294,1.1583,0.98031,1.31818,0.0010892,0.0010892,0.0010892
48,190.974,0.83418,0.72611,1.08196,0.73478,0.71298,0.7485,0.51852,1.16399,0.97288,1.3086,0.0010694,0.0010694,0.0010694
49,194.837,0.85421,0.7652,1.08396,0.68631,0.75735,0.708,0.46432,1.14835,0.99916,1.29398,0.0010496,0.0010496,0.0010496
