epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,40.3773,1.50813,0.7959,1.62537,0.00412,0.46324,0.01066,0.00271,1.19694,0.72188,1.31046,0.0801702,1.98496e-05,1.98496e-05
2,82.9491,1.1626,0.70349,0.99909,0.00719,0.80882,0.06941,0.01691,0.76365,1.14766,0.60759,0.0601899,3.9491e-05,3.9491e-05
3,122.54,0.8954,0.92217,0.67209,0.00706,0.79412,0.07533,0.01929,0.72055,1.24358,0.58865,0.0402091,5.87723e-05,5.87723e-05
4,160.627,0.81746,0.95998,0.53492,0.00882,0.80882,0.07778,0.01947,0.7449,1.23859,0.52648,0.0202281,7.76937e-05,7.76937e-05
5,200.195,0.76891,0.99501,0.4944,0.01082,0.89706,0.11264,0.03913,0.57473,1.33277,0.45783,0.000246631,9.6255e-05,9.6255e-05
6,239.745,0.66727,1.09181,0.43632,0.02156,0.88971,0.11027,0.0411,0.5668,1.3582,0.44572,9.55e-05,9.55e-05,9.55e-05
7,278.975,0.63644,1.09781,0.40439,0.04641,0.71324,0.11011,0.04472,0.52724,1.332,0.37209,9.46e-05,9.46e-05,9.46e-05
8,318.026,0.6004,1.10563,0.38466,0.09412,0.52941,0.12946,0.05809,0.48538,1.31832,0.35128,9.37e-05,9.37e-05,9.37e-05
9,356.053,0.56203,1.07413,0.35032,0.10607,0.41176,0.14765,0.07452,0.43039,1.29107,0.29984,9.28e-05,9.28e-05,9.28e-05
10,392.975,0.53263,1.10654,0.33488,0.12114,0.41176,0.16129,0.08168,0.39287,1.30304,0.27412,9.19e-05,9.19e-05,9.19e-05
11,429.589,0.5136,1.08588,0.31657,0.12108,0.33088,0.1392,0.07541,0.37934,1.2962,0.26813,9.1e-05,9.1e-05,9.1e-05
12,467.149,0.49172,1.10469,0.3169,0.11523,0.44853,0.12915,0.07327,0.38552,1.30565,0.25214,9.01e-05,9.01e-05,9.01e-05
13,504.783,0.49444,1.08243,0.30185,0.12961,0.35294,0.13765,0.07092,0.37524,1.32395,0.26436,8.92e-05,8.92e-05,8.92e-05
14,543.205,0.47063,1.10133,0.28312,0.13476,0.46324,0.12186,0.06822,0.36787,1.26422,0.26074,8.83e-05,8.83e-05,8.83e-05
15,583.226,0.45971,1.15599,0.29907,0.12323,0.42891,0.10527,0.06757,0.33225,1.32166,0.25313,8.74e-05,8.74e-05,8.74e-05
16,621.626,0.42569,1.12879,0.26814,0.11634,0.41912,0.10648,0.06449,0.35351,1.33701,0.26253,8.65e-05,8.65e-05,8.65e-05
17,660.079,0.4195,1.15561,0.26725,0.13919,0.38971,0.11911,0.07376,0.37018,1.22673,0.28383,8.56e-05,8.56e-05,8.56e-05
18,697.722,0.40651,1.17069,0.25231,0.13601,0.41912,0.13313,0.0814,0.35906,1.2505,0.26442,8.47e-05,8.47e-05,8.47e-05
19,733.64,0.39463,1.13835,0.25274,0.12962,0.38971,0.12728,0.07874,0.34397,1.2941,0.24949,8.38e-05,8.38e-05,8.38e-05
20,770.437,0.3855,1.16437,0.2423,0.13741,0.375,0.12612,0.07745,0.3691,1.20743,0.26522,8.29e-05,8.29e-05,8.29e-05
21,807.466,0.39118,1.13524,0.24163,0.15968,0.38235,0.12478,0.07824,0.36849,1.26813,0.24622,8.2e-05,8.2e-05,8.2e-05
