epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,45.1702,1.93284,0.59227,2.35204,0.00157,0.17647,0.00411,0.00091,1.49681,0.41002,2.28118,0.0801702,1.98496e-05,1.98496e-05
2,85.5255,1.27867,0.57904,1.19096,0.00569,0.63971,0.01139,0.00296,1.00062,0.8952,0.93157,0.0601897,3.93236e-05,3.93236e-05
3,124.934,1.21978,0.63031,1.01956,0.00516,0.58088,0.00938,0.0026,1.03459,0.85021,0.91584,0.0402086,5.82696e-05,5.82696e-05
4,163.866,1.15548,0.69207,0.8424,0.00529,0.59559,0.0204,0.00338,1.08493,0.92884,0.9913,0.0202271,7.66876e-05,7.66876e-05
5,202.196,0.99014,0.81896,0.71197,0.0068,0.76471,0.06174,0.01778,0.72354,1.18855,0.55842,0.000244954,9.45776e-05,9.45776e-05
6,242.514,0.81671,0.99074,0.56097,0.00744,0.83088,0.07259,0.01872,0.66426,1.35084,0.48718,9.34e-05,9.34e-05,9.34e-05
7,284.569,0.77718,1.016,0.52442,0.00894,0.86029,0.1049,0.03319,0.66094,1.25759,0.54846,9.208e-05,9.208e-05,9.208e-05
8,327.802,0.72618,1.05775,0.48683,0.01306,0.875,0.09937,0.02994,0.54759,1.41297,0.38962,9.076e-05,9.076e-05,9.076e-05
9,369.992,0.70366,1.05608,0.44689,0.0223,0.875,0.07882,0.02468,0.52143,1.43888,0.36804,8.944e-05,8.944e-05,8.944e-05
10,411.099,0.65855,1.08877,0.42695,0.04765,0.75735,0.08087,0.02732,0.54465,1.37538,0.4113,8.812e-05,8.812e-05,8.812e-05
11,452.388,0.62696,1.08643,0.3928,0.0791,0.64706,0.12145,0.04414,0.49676,1.40908,0.34742,8.68e-05,8.68e-05,8.68e-05
12,492.628,0.59824,1.08268,0.38416,0.09145,0.5,0.12224,0.04325,0.50647,1.29108,0.36115,8.548e-05,8.548e-05,8.548e-05
13,531.967,0.61303,1.02298,0.3678,0.10318,0.46324,0.12463,0.04856,0.50285,1.20528,0.37815,8.416e-05,8.416e-05,8.416e-05
14,571.183,0.5787,1.03544,0.3544,0.11854,0.47794,0.14093,0.05701,0.45223,1.22343,0.319,8.284e-05,8.284e-05,8.284e-05
15,611.146,0.57273,1.05427,0.3674,0.13304,0.47059,0.17171,0.07077,0.46277,1.21341,0.3476,8.152e-05,8.152e-05,8.152e-05
16,653.874,0.54286,1.0352,0.32983,0.13188,0.43382,0.14665,0.07107,0.42091,1.31358,0.30862,8.02e-05,8.02e-05,8.02e-05
17,696.772,0.52574,1.0639,0.33195,0.15897,0.49265,0.17757,0.07506,0.45574,1.18811,0.33456,7.888e-05,7.888e-05,7.888e-05
18,738.727,0.50788,1.07906,0.31326,0.12456,0.43382,0.15218,0.07638,0.38077,1.25797,0.26979,7.756e-05,7.756e-05,7.756e-05
19,779.934,0.49463,1.05885,0.31012,0.16014,0.36765,0.15945,0.0825,0.38556,1.31574,0.27533,7.624e-05,7.624e-05,7.624e-05
20,824.264,0.47825,1.08507,0.2974,0.14092,0.40441,0.14893,0.07999,0.37971,1.2459,0.2738,7.492e-05,7.492e-05,7.492e-05
21,867.632,0.46744,1.06526,0.28106,0.137,0.44853,0.15443,0.07806,0.38018,1.30612,0.25481,7.36e-05,7.36e-05,7.36e-05
22,909.888,0.46588,1.06283,0.27476,0.15815,0.36765,0.15111,0.08751,0.35678,1.26226,0.26651,7.228e-05,7.228e-05,7.228e-05
23,951.996,0.43327,1.09578,0.26682,0.14634,0.42102,0.14838,0.08248,0.35341,1.28934,0.25167,7.096e-05,7.096e-05,7.096e-05
24,991.59,0.43713,1.08106,0.26537,0.15635,0.42647,0.1431,0.0862,0.35442,1.3061,0.24011,6.964e-05,6.964e-05,6.964e-05
25,1034.17,0.4405,1.08531,0.26621,0.15575,0.41912,0.14974,0.08771,0.33971,1.26568,0.23436,6.832e-05,6.832e-05,6.832e-05
26,1077.14,0.42725,1.07838,0.25001,0.14528,0.40441,0.1418,0.08474,0.36729,1.28556,0.24487,6.7e-05,6.7e-05,6.7e-05
27,1119.16,0.43614,1.06459,0.25276,0.14953,0.36587,0.14226,0.0905,0.34713,1.26106,0.24483,6.568e-05,6.568e-05,6.568e-05
28,1160.72,0.42856,1.06812,0.25152,0.13941,0.41912,0.14227,0.08475,0.35848,1.27363,0.25388,6.436e-05,6.436e-05,6.436e-05
29,1200.07,0.42477,1.09182,0.25636,0.13918,0.41912,0.1616,0.10006,0.35183,1.25953,0.25546,6.304e-05,6.304e-05,6.304e-05
30,1238.05,0.41493,1.07565,0.24574,0.14979,0.38235,0.15348,0.10102,0.33234,1.35759,0.23226,6.172e-05,6.172e-05,6.172e-05
31,1276.24,0.41702,1.07677,0.26206,0.16116,0.36765,0.16338,0.10302,0.32984,1.21048,0.24632,6.04e-05,6.04e-05,6.04e-05
32,1317.6,0.41235,1.0792,0.24436,0.14432,0.5,0.1538,0.09586,0.34455,1.25946,0.24486,5.908e-05,5.908e-05,5.908e-05
33,1356.39,0.42383,1.05339,0.26384,0.15258,0.46733,0.15632,0.09806,0.33523,1.23967,0.23729,5.776e-05,5.776e-05,5.776e-05
34,1397.76,0.40945,1.08144,0.24262,0.14265,0.47059,0.15044,0.09652,0.33732,1.21562,0.24327,5.644e-05,5.644e-05,5.644e-05
