epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,43.4293,1.31782,0.95182,1.17579,0.00529,0.59559,0.01491,0.00345,1.0555,0.80941,1.06385,0.0801702,1.98496e-05,1.98496e-05
2,85.699,1.02552,0.8089,0.73169,0.00627,0.70588,0.0736,0.01796,0.84579,1.0943,0.65704,0.0601897,3.93236e-05,3.93236e-05
3,126.93,0.77302,1.04716,0.52208,0.00712,0.80147,0.0563,0.0191,0.65188,1.28805,0.4999,0.0402086,5.82696e-05,5.82696e-05
4,166.578,0.6292,1.18154,0.38543,0.00817,0.91912,0.09399,0.04425,0.45733,1.58072,0.31792,0.0202271,7.66876e-05,7.66876e-05
5,206.041,0.57759,1.20934,0.35041,0.01301,0.91176,0.09742,0.03654,0.46128,1.57079,0.31762,0.000244954,9.45776e-05,9.45776e-05
6,244.249,0.52125,1.29286,0.33242,0.0376,0.78676,0.08892,0.03765,0.42606,1.63008,0.28977,9.34e-05,9.34e-05,9.34e-05
7,286.339,0.49293,1.27182,0.31647,0.05968,0.59559,0.08627,0.04287,0.35394,1.60879,0.25029,9.208e-05,9.208e-05,9.208e-05
8,328.987,0.48061,1.27394,0.32016,0.10321,0.41912,0.09914,0.05126,0.34668,1.57541,0.24597,9.076e-05,9.076e-05,9.076e-05
9,369.123,0.45984,1.23221,0.28983,0.1198,0.38235,0.10372,0.05345,0.3518,1.49019,0.23488,8.944e-05,8.944e-05,8.944e-05
10,409.838,0.43946,1.25236,0.2803,0.12085,0.38971,0.1164,0.06128,0.34488,1.46131,0.24733,8.812e-05,8.812e-05,8.812e-05
11,448.93,0.43029,1.24013,0.27177,0.13247,0.30882,0.11539,0.06614,0.34726,1.45022,0.23991,8.68e-05,8.68e-05,8.68e-05
12,487.6,0.41172,1.24665,0.2646,0.12694,0.28676,0.11653,0.06457,0.35275,1.52656,0.25545,8.548e-05,8.548e-05,8.548e-05
13,526.123,0.43003,1.20975,0.25995,0.12101,0.33824,0.11772,0.06468,0.33157,1.50143,0.23941,8.416e-05,8.416e-05,8.416e-05
14,564.605,0.39052,1.22965,0.23396,0.12982,0.34559,0.12357,0.07329,0.32465,1.46045,0.2311,8.284e-05,8.284e-05,8.284e-05
15,603.332,0.41532,1.24973,0.26724,0.13014,0.29412,0.11435,0.0697,0.31968,1.53134,0.21395,8.152e-05,8.152e-05,8.152e-05
16,644.075,0.3813,1.22629,0.2294,0.13774,0.31362,0.12396,0.07541,0.31164,1.52311,0.21107,8.02e-05,8.02e-05,8.02e-05
17,683.846,0.3887,1.23158,0.24139,0.1303,0.33088,0.11668,0.07078,0.33119,1.42866,0.23803,7.888e-05,7.888e-05,7.888e-05
18,722.765,0.37545,1.23093,0.22512,0.13821,0.30882,0.11571,0.07292,0.32409,1.39582,0.23738,7.756e-05,7.756e-05,7.756e-05
19,761.453,0.38207,1.18894,0.2396,0.15597,0.32353,0.12475,0.07391,0.33133,1.48727,0.24434,7.624e-05,7.624e-05,7.624e-05
20,799.988,0.37421,1.17851,0.22978,0.17962,0.32353,0.14907,0.09037,0.33869,1.32837,0.25686,7.492e-05,7.492e-05,7.492e-05
21,838.556,0.38277,1.14922,0.23303,0.17742,0.36029,0.15528,0.09599,0.35976,1.28687,0.26481,7.36e-05,7.36e-05,7.36e-05
22,877.885,0.38551,1.09157,0.23378,0.17017,0.38971,0.17353,0.09802,0.35486,1.37491,0.253,7.228e-05,7.228e-05,7.228e-05
23,916.695,0.36189,1.13304,0.23315,0.1814,0.38971,0.16459,0.09976,0.35688,1.28874,0.25823,7.096e-05,7.096e-05,7.096e-05
24,955.07,0.36513,1.09826,0.23932,0.18568,0.5,0.18277,0.11773,0.3574,1.19074,0.27021,6.964e-05,6.964e-05,6.964e-05
25,995.346,0.36658,1.07481,0.22656,0.17942,0.52206,0.19794,0.1249,0.35812,1.20669,0.27157,6.832e-05,6.832e-05,6.832e-05
26,1035,0.36313,1.02032,0.23123,0.23438,0.49265,0.237,0.14747,0.37032,1.09055,0.27781,6.7e-05,6.7e-05,6.7e-05
27,1074.63,0.38815,0.96449,0.24648,0.38306,0.44118,0.35601,0.22846,0.36157,1.07615,0.26778,6.568e-05,6.568e-05,6.568e-05
28,1114.28,0.40221,0.83117,0.2653,0.47054,0.52206,0.46998,0.29764,0.35958,1.07094,0.26911,6.436e-05,6.436e-05,6.436e-05
